setor,tunnel,anel,segmento,edificios,desconhecido,pavimento,rochas,matas,ceu
12,100.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0
13,100.0,1,2,0.0,0.0,0.0,0.0,0.0,0.0
14,100.0,1,3,0.0,0.0,0.0,0.0,0.0,0.0
15,100.0,1,4,0.0,0.0,0.0,0.0,0.0,0.0
16,100.0,1,5,0.0,0.0,0.0,0.0,0.0,0.0
17,100.0,1,6,0.0,0.0,0.0,0.0,0.0,0.0
18,100.0,1,7,0.0,0.0,0.0,0.0,0.0,0.0
19,100.0,1,8,0.0,0.0,0.0,0.0,0.0,0.0
20,100.0,1,9,0.0,0.0,0.0,0.0,0.0,0.0
21,100.0,1,10,0.0,0.0,0.0,0.0,0.0,0.0
22,100.0,1,11,0.0,0.0,0.0,0.0,0.0,0.0
23,100.0,1,12,0.0,0.0,0.0,0.0,0.0,0.0
24,100.0,2,1,0.0,0.0,0.0,0.0,0.0,0.0
25,100.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0
26,100.0,2,3,0.0,0.0,0.0,0.0,0.0,0.0
27,100.0,2,4,0.0,0.0,0.0,0.0,0.0,0.0
28,100.0,2,5,0.0,0.0,0.0,0.0,0.0,0.0
29,100.0,2,6,0.0,0.0,0.0,0.0,0.0,0.0
30,100.0,2,7,0.0,0.0,0.0,0.0,0.0,0.0
31,100.0,2,8,0.0,0.0,0.0,0.0,0.0,0.0
32,100.0,2,9,0.0,0.0,0.0,0.0,0.0,0.0
33,100.0,2,10,0.0,0.0,0.0,0.0,0.0,0.0
34,100.0,2,11,0.0,0.0,0.0,0.0,0.0,0.0
35,100.0,2,12,0.0,0.0,0.0,0.0,0.0,0.0
36,100.0,3,1,0.0,0.0,0.0,0.0,0.0,0.0
37,100.0,3,2,0.0,0.0,0.0,0.0,0.0,0.0
38,100.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0
39,100.0,3,4,0.0,0.0,0.0,0.0,0.0,0.0
40,100.0,3,5,0.0,0.0,0.0,0.0,0.0,0.0
41,100.0,3,6,0.0,0.0,0.0,0.0,0.0,0.0
42,100.0,3,7,0.0,0.0,0.0,0.0,0.0,0.0
43,100.0,3,8,0.0,0.0,0.0,0.0,0.0,0.0
44,100.0,3,9,0.0,0.0,0.0,0.0,0.0,0.0
45,100.0,3,10,0.0,0.0,0.0,0.0,0.0,0.0
46,100.0,3,11,0.0,0.0,0.0,0.0,0.0,0.0
47,100.0,3,12,0.0,0.0,0.0,0.0,0.0,0.0
48,100.0,4,1,0.0,0.0,0.0,0.0,0.0,0.0
49,100.0,4,2,0.0,0.0,0.0,0.0,0.0,0.0
50,66.67,4,3,2.15,12.9,18.28,0.0,0.0,0.0
51,76.24,4,4,0.0,9.9,13.86,0.0,0.0,0.0
52,100.0,4,5,0.0,0.0,0.0,0.0,0.0,0.0
53,100.0,4,6,0.0,0.0,0.0,0.0,0.0,0.0
54,100.0,4,7,0.0,0.0,0.0,0.0,0.0,0.0
55,96.97,4,8,1.01,0.0,2.02,0.0,0.0,0.0
56,98.92,4,9,1.08,0.0,0.0,0.0,0.0,0.0
57,100.0,4,10,0.0,0.0,0.0,0.0,0.0,0.0
58,100.0,4,11,0.0,0.0,0.0,0.0,0.0,0.0
59,100.0,4,12,0.0,0.0,0.0,0.0,0.0,0.0
60,100.0,5,1,0.0,0.0,0.0,0.0,0.0,0.0
61,51.71,5,2,0.0,24.36,23.93,0.0,0.0,0.0
62,0.0,5,3,0.0,89.08,10.92,0.0,0.0,0.0
63,0.83,5,4,0.0,92.98,6.2,0.0,0.0,0.0
64,59.4,5,5,0.0,24.36,16.24,0.0,0.0,0.0
65,100.0,5,6,0.0,0.0,0.0,0.0,0.0,0.0
66,100.0,5,7,0.0,0.0,0.0,0.0,0.0,0.0
67,100.0,5,8,0.0,0.0,0.0,0.0,0.0,0.0
68,82.97,5,9,4.37,0.0,12.66,0.0,0.0,0.0
69,100.0,5,10,0.0,0.0,0.0,0.0,0.0,0.0
70,93.59,5,11,2.56,0.43,3.42,0.0,0.0,0.0
71,100.0,5,12,0.0,0.0,0.0,0.0,0.0,0.0
72,93.59,6,1,1.0,2.2,3.21,0.0,0.0,0.0
73,3.68,6,2,0.0,27.2,69.12,0.0,0.0,0.0
74,0.0,6,3,0.0,37.84,62.16,0.0,0.0,0.0
75,0.0,6,4,0.0,90.78,9.22,0.0,0.0,0.0
76,5.93,6,5,0.41,69.73,23.93,0.0,0.0,0.0
77,90.02,6,6,5.41,0.83,3.74,0.0,0.0,0.0
78,100.0,6,7,0.0,0.0,0.0,0.0,0.0,0.0
79,100.0,6,8,0.0,0.0,0.0,0.0,0.0,0.0
80,88.98,6,9,2.29,0.21,8.52,0.0,0.0,0.0
81,100.0,6,10,0.0,0.0,0.0,0.0,0.0,0.0
82,89.98,6,11,2.04,0.0,7.98,0.0,0.0,0.0
83,100.0,6,12,0.0,0.0,0.0,0.0,0.0,0.0
84,42.14,7,1,0.17,36.7,6.3,14.68,0.0,0.0
85,0.0,7,2,0.0,31.21,68.79,0.0,0.0,0.0
86,0.0,7,3,0.0,0.98,99.02,0.0,0.0,0.0
87,0.0,7,4,0.0,39.72,60.28,0.0,0.0,0.0
88,0.0,7,5,0.0,93.88,6.12,0.0,0.0,0.0
89,49.82,7,6,4.43,13.03,25.89,4.52,2.3,0.0
90,89.64,7,7,7.77,0.78,1.81,0.0,0.0,0.0
91,99.56,7,8,0.35,0.09,0.0,0.0,0.0,0.0
92,93.97,7,9,0.8,0.44,4.79,0.0,0.0,0.0
93,96.37,7,10,0.69,0.0,2.94,0.0,0.0,0.0
94,94.14,7,11,0.79,0.26,4.81,0.0,0.0,0.0
95,100.0,7,12,0.0,0.0,0.0,0.0,0.0,0.0
96,1.03,8,1,0.66,54.94,24.18,16.71,1.72,0.75
97,0.0,8,2,0.0,27.23,72.77,0.0,0.0,0.0
98,0.0,8,3,0.0,0.0,100.0,0.0,0.0,0.0
99,0.0,8,4,0.0,3.45,96.55,0.0,0.0,0.0
